id,title,year,directors,writers,date_in_theaters,duration,genres,actors
18916,Jeff Lynne's ELO at Hyde Park,2014,Janet Fraser-Crook,,10/17/2014,85,Musical & Performing Arts,Jeff Lynne
18917,Hold Your Peace,2011,Wade McDonald,Wade McDonald,12/13/2011,96,"Romance,Comedy","Chad Ford,Scott Higgins,Aleisha Force"
18918,Farm,2011,"Hank Bausch,Andrew M. Jackson","Paul Farrell,Paul Farrell",10/11/2011,75,"Drama,Thriller,Horror","Michael Hotop,Ashley Salazar,Freddie Meyer"
18919,Mr. Blue Sky,2007,Sarah Gurfield,Tom Paddy Lee,11/09/2007,84,Drama,"Chaney Kley,Richard Karn,Mary Kate Schellhardt"
18920,The Cemetery,2013,Adam Ahlbrandt,Adam Ahlbrandt,01/12/2013,85,Horror,"J.D. Brown,Natalie Jean,Adam Huss"
18921,Amazing Ocean 3D,2013,"Benjamin Eicher,Timo Joh. Mayer",Benjamin Eicher,01/29/2013,50,Documentary,
18922,Relentless Justice,2015,David A. Prior,"David A. Prior,Fabio Soldani",11/24/2015,96,"Thriller,Action & Adventure","Eric Roberts,Mark Rolston,Leilani Sarelle"
18923,Born to Be Wild,2011,David Lickley,Drew Fellman,04/08/2011,40,"Short,Documentary,Action & Adventure","Birute Galdikas,Daphne Sheldrick,Morgan Freeman"
18924,Big Easy Express,2014,Emmett Malloy,,06/07/2014,98,"Documentary,Musical & Performing Arts","Ted Dwane,Ben Lovett,'Country' Winston Marshall"
18925,The Fearless Freaks,2005,Bradley Beesley,,03/13/2005,103,"Documentary,Musical & Performing Arts,Biography","Bradley Beesley,Steve Burns,Dolly Coyne"
18926,Lemmy,2010,"Greg Olliver,Wes Orshoski","Greg Olliver,Wes Orshoski",12/07/2010,116,"Documentary,Musical & Performing Arts,Biography","Lemmy,Phil Campbell,Mikkey Dee"
18927,Bubblegum & Broken Fingers,2011,Sean Jackson,Sean Jackson,September 2011,110,"Drama,Western,Crime","Camme Tyla,Mandy Williams,Brenna Daly"
18928,Sonic Highways,2014,,,10/17/2014,60,"Documentary,Musical & Performing Arts","Dave Grohl,Taylor Hawkins,Rami Jaffee"
18929,Sound City,2013,Dave Grohl,Mark Monroe,01/18/2013,107,"Documentary,Musical & Performing Arts","Trent Reznor,Tom Petty,Mick Fleetwood"
18930,His Finest Hour/Matthew Newton/Rock God/Mountain Madness,2013,,,02/17/2013,60,News,"Tara Brown,Peter Harvey,Liz Hayes"
18931,Pink Floyd: The Story of Wish You Were Here,2012,John Edginton,John Edginton,06/26/2012,85,"Documentary,Musical & Performing Arts","Joe Boyd,Venetta Fields,Jill Furmanovsky"
18932,Jimi Hendrix: Live at Woodstock,1999,"Chris Hegedus,Erez Laufer",,07/06/1999,57,"Documentary,Musical & Performing Arts","Jimi Hendrix,Billy Cox,Mitch Mitchell"
18933,The Work of Director Spike Jonze,2003,"Spike Jonze,Lance Bangs","Mark Gonzales,Spike Jonze",10/20/2003,200,"Documentary,Musical & Performing Arts","Mark Gonzales,Lauren Curry,Rico Bueno"
18934,Weezer: Buddy Holly,1994,Spike Jonze,,09/07/1994,4,"Short,Musical & Performing Arts,Comedy","Tom Bosley,Rivers Cuomo,Tony Maxwell"
18935,Soundgarden: Black Hole Sun,1994,Howard Greenhalgh,,June 1994,,Short,"Chris Cornell,Soundgarden"
18936,Losing My Religion,1991,Tarsem Singh,,1991,5,"Short,Musical & Performing Arts","Bill Berry,Peter Buck,Mike Mills"
18937,Beastie Boys: Sabotage,,Spike Jonze,"Adam Horovitz,Spike Jonze",,3,"Short,Musical & Performing Arts","Beastie Boys,Adam Yauch,Adam Horovitz"
18938,Bjrk: It's Oh So Quiet,,Spike Jonze,,,4,"Short,Musical & Performing Arts","Bjrk,Anthony Marciona"
18939,A-Ha: Take on Me,1985,Steve Barron,,1985,4,"Short,Musical & Performing Arts","A-Ha,Bunty Bailey,Morten Harket"
18940,Fatboy Slim: Praise You,,Spike Jonze,,,,"Short,Musical & Performing Arts","Fatboy Slim,Spike Jonze"
18941,Pearl Jam: Immagine in Cornice - Live in Italy 2006,2007,Danny Clinch,,09/25/2007,,"Documentary,Musical & Performing Arts","Eddie Vedder,Kenneth 'Boom' Gaspar,Jeff Ament"
18942,Pearl Jam Twenty,2011,Cameron Crowe,Cameron Crowe,10/21/2011,109,"Musical & Performing Arts,Documentary,History","Eddie Vedder,Stone Gossard,Jeff Ament"
18943,Master of Puppets,2012,"Hannes Rossacher,Simon Witter","Hannes Rossacher,Simon Witter",06/30/2012,52,Documentary,"Peter Grant,Led Zeppelin,Andrew Loog Oldham"
18944,Jimi Hendrix: Live at Woodstock,1999,Michael Wadleigh,,1999,87,Musical & Performing Arts,"Billy Cox,Jimi Hendrix,Larry Lee"
18945,Roger Waters: In the Flesh Live,,Ernie Fritz,,,,Musical & Performing Arts,"Roger Waters,Doyle Bramhall II,Graham Broad"
18946,Physical Graffiti: A Classic Album Under Review,2008,,,07/08/2008,120,"Documentary,Musical & Performing Arts","Maggie Bell,John Bonham,Richard Cole"
18947,Pink Floyd at Pompeii,1972,Adrian Maben,,10/25/1972,92,Musical & Performing Arts,"David Gilmour,Roger Waters,Richard Wright"
18948,Foo Fighters: Back and Forth,2011,James Moll,,04/05/2011,150,"Documentary,Musical & Performing Arts","Shawn Cloninger,William Goldsmith,Jessy Greene"
18949,Foo Fighters: Live at Wembley Stadium,2008,Nick Wickham,,08/25/2008,120,"Documentary,Musical & Performing Arts","Jessy Greene,Dave Grohl,Taylor Hawkins"
18950,Pink Floyd: Delicate Sound of Thunder,1989,Wayne Isham,,06/13/1989,100,Musical & Performing Arts,"Pink Floyd,David Gilmour,Nick Mason"
18951,The Doors,1968,,,1968,28,"Documentary,Musical & Performing Arts","John Densmore,Ray Manzarek,Robby Krieger"
18952,Nirvana: With the Lights Out,2004,Lance Bangs,,11/23/2004,101,Musical & Performing Arts,"Chad Channing,Kurt Cobain,Jason Everman"
18953,1991: The Year Punk Broke,1992,David Markey,,11/20/1992,99,"Musical & Performing Arts,Documentary,History","Sonic Youth,Kim Gordon,Lee Ranaldo"
18954,Hype!,1996,Doug Pray,,11/08/1996,84,"Musical & Performing Arts,Documentary,History","7 Year Bitch,Valerie M. Agnew,Carrie Akre"
18955,100 Most Metal Moments,2004,,,May 2004,60,"Documentary,Musical & Performing Arts","Dee Snider,Aerosmith,Anthrax"
18956,Flyin' Cut Sleeves,1993,"Henry Chalfant,Rita Fecher",,01/01/1993,60,Documentary,"Rita Fecher,Gabriel Torres,Jose Torres"
18957,End of the Century,2004,"Jim Fields,Michael Gramaglia",,11/27/2004,110,"Documentary,Musical & Performing Arts,Biography","Rick Rubin,Tommy Ramone,Dee Dee Ramone"
18958,The Making of Steven Spielberg's 'Jaws',1995,Laurent Bouzereau,Laurent Bouzereau,11/28/1995,125,Documentary,"Joe Alves,Susan Backlinie,Peter Benchley"
18959,Dangerous Days: Making Blade Runner,2007,Charles de Lauzirika,,12/18/2007,214,Documentary,"Daryl Hannah,Michael Deeley,Harrison Ford"
18960,Metal: A Headbanger's Journey,2006,"Sam Dunn,Scot McFadyen","Sam Dunn,Scot McFadyen",06/21/2006,96,"Documentary,Musical & Performing Arts","Tom Araya,Gavin Baddeley,Blasphemer"
18961,The Matrix Revisited,2001,Josh Oreck,,11/20/2001,123,Documentary,"Lorenzo di Bonaventura,Joel Silver,Bill Pope"
18962,Marwencol,,,,,,Drama,
18963,Presenting Princess Shaw,2016,Ido Haar,Ido Haar,05/27/2016,83,"Documentary,Musical & Performing Arts","Ophir Kutiel,Samantha Montgomery"
18964,Plastic Galaxy: The Story of Star Wars Toys,2014,Brian Stillman,Brian Stillman,01/14/2014,70,"Science Fiction & Fantasy,Documentary,History","Tom Beaumont,Tom Berges,John Booth"
18965,I Am Your Father,2015,"Toni Bestard,Marcos Cabot","Toni Bestard,Marcos Cabot",10/10/2015,83,"Documentary,Biography","Kenny Baker,Jeremy Bulloch,Ben Burtt"
18966,For the Love of Spock,2016,Adam Nimoy,,09/09/2016,111,"Documentary,Biography","Chris Pine,Zoe Saldana,Karl Urban"
18967,Pink Five Strikes Back,2004,Trey Stokes,Trey Stokes,06/29/2004,10,"Science Fiction & Fantasy,Short","Amy Earhart,Greg Manion,Stephen Stanton"
18968,American Ninja,1985,Sam Firstenberg,"Paul De Mielche,Avi Kleinberger",08/30/1985,95,"Romance,Action & Adventure","Michael Dudikoff,Steve James,Judie Aronson"
18969,Batman: Dead End,2003,Sandy Collora,Sandy Collora,07/19/2003,8,"Short,Crime,Action & Adventure","Clark Bartram,Andrew Koenig,Kurt Carley"
18970,Hunter Prey,2010,Sandy Collora,"Nick Damon,Sandy Collora",07/24/2010,88,"Science Fiction & Fantasy,Thriller","Clark Bartram,Damion Poitier,Isaac C. Singleton Jr."
18971,Behind the Mask: The Batman Dead End Story,2015,Eric Dow,Eric Dow,07/10/2015,98,Documentary,"Neal Adams,Clark Bartram,Kurt Carley"
18972,Another State of Mind,1984,"Adam Small,Peter Stuart","Adam Small,Peter Stuart",March 1984,78,"Documentary,Musical & Performing Arts","M. Otis Beard,Dennis Danell,Brent Liles"
18973,The Decline of Western Civilization Part III,1998,Penelope Spheeris,,11/13/1998,86,"Documentary,Musical & Performing Arts","Stephen Chambers,Flea,Gary Fredo"
18974,Such Hawks Such Hounds,2008,"Jessica Hundley,John Srebalus",John Srebalus,03/01/2008,84,Documentary,"Billy Anderson,Scott 'Wino' Weinrich,Scott Reeder"
18975,Streetwise,1984,Martin Bell,Cheryl McCall,1984,91,Documentary,"Roberta Joseph Hayes,Baby Gramps,Erin Blackwell"
18976,Until the Light Takes Us,2010,"Aaron Aites,Audrey Ewell",,08/12/2010,93,"Documentary,Musical & Performing Arts","Fenriz,Varg Vikernes,ystein Aarseth"
18977,The Decline of Western Civilization,2016,Penelope Spheeris,Penelope Spheeris,03/19/2016,100,"Musical & Performing Arts,Documentary,History","Alice Bag Band,Alice Bag,Claude Bessey"
18978,Get Thrashed: The Story of Thrash Metal,2007,Rick Ernst,,03/11/2007,100,"Musical & Performing Arts,Documentary,History","Death Angel,Tom Angelripper,Phil Anselmo"
18979,The Decline of Western Civilization Part II: The Metal Years,1989,Penelope Spheeris,,08/24/1989,93,"Documentary,Musical & Performing Arts","Joe Perry,Steven Tyler,Gene Simmons"
18980,Last Days Here,2011,"Don Argott,Demian Fenton",,04/29/2011,91,"Documentary,Musical & Performing Arts","Sean Pelletier,Phil Anselmo,Bobby Liebling"
18981,That's So John Rad,2016,"Jeremy Coon,Tim Skousen",,04/19/2016,27,"Short,Documentary","Philip Anderson,Hadrian Belove,Jeremy Coon"
18982,Dangerous Men,2005,Jahangir Salehi,"Jahangir Salehi,Jahangir Salehi",09/23/2005,80,"Crime,Action & Adventure","Michael Gradilone,Roya Saghafy,Melody Wiggins"
18983,Fanarchy,2015,Donna Davies,"Donna Davies,Scott Neily",07/09/2015,88,Documentary,"Chris Bouchard,Denise Crosby,Brett Culp"
18984,Untitled Robert McCammon Project,,,,,,Drama,
18985,Raiders,2014,Alexander Gentelev,,May 2014,90,Documentary,
18986,The Sasquatch Gang,2006,Tim Skousen,Tim Skousen,January 2006,86,Comedy,"Justin Long,Jeremy Sumpter,Addie Land"
18987,The People vs. George Lucas,2011,Alexandre O. Philippe,Alexandre O. Philippe,08/29/2011,93,"Documentary,Comedy","Joe Nussbaum,Daryl Frazetti,Doug Jones"
18988,The Beast Within: The Making of 'Alien',2003,Charles de Lauzirika,Charles de Lauzirika,12/02/2003,178,"Science Fiction & Fantasy,Documentary","Bolaji Badejo,Martin Bower,Gordon Carroll"
18989,The Thing: Terror Takes Shape,1998,Michael Matessino,Michael Matessino,1998,83,Documentary,"John Carpenter,David Foster,Bill Lancaster"
18990,The Lashman,2014,Cameron McCasland,Cameron McCasland,04/19/2014,,"Drama,Action & Adventure,Horror","Stacey Dixon,Shawn C. Phillips,David Vaughn"
18991,Star Wars: The Legacy Revealed,2007,Kevin Burns,"Kevin Burns,David Comtois",05/28/2007,155,Documentary,"George Lucas,Linda Ellerbee,Tom Brokaw"
18992,The Making of 'Alien',2003,Charles de Lauzirika,Charles de Lauzirika,12/02/2003,161,"Science Fiction & Fantasy,Documentary","Martin Asbury,Michael Biehn,Ralph Brown"
18993,Superior Firepower: The Making of 'Aliens',2003,Charles de Lauzirika,Charles de Lauzirika,12/02/2003,185,"Science Fiction & Fantasy,Documentary","Simon Atherton,Jay Benedict,Michael Biehn"
18994,From 'Star Wars' to 'Jedi': The Making of a Saga,1983,,Richard Schickel,12/03/1983,65,Documentary,"Mark Hamill,George Lucas,Anthony Daniels"
18995,Secrets of the Force Awakens: A Cinematic Journey,2016,Laurent Bouzereau,,03/14/2016,69,Documentary,"J.J. Abrams,Christian Alzmann,John Boyega"
18996,The Making of 'Star Wars',1977,Robert Guenette,Richard Schickel,09/16/1977,50,Documentary,"William Conrad,Anthony Daniels,George Lucas"
18997,Cops,1922,"Edward F. Cline,Buster Keaton","Buster Keaton,Edward F. Cline",March 1922,18,"Short,Kids & Family,Comedy","Buster Keaton,Edward F. Cline,Virginia Fox"
18998,Therapy for a Vampire,2014,David Rhm,David Rhm,12/19/2014,87,"Horror,Comedy","Tobias Moretti,Jeanette Hain,Cornelia Ivancan"
18999,Empire of Dreams: The Story of the 'Star Wars' Trilogy,2004,"Edith Becker,Kevin Burns",Ed Singer,09/20/2004,151,"Science Fiction & Fantasy,Documentary,History","Robert Clotworthy,Walter Cronkite,George Lucas"
19000,Our Nixon,2013,Penny Lane,,03/09/2013,84,"Documentary,Crime,Biography","Richard Nixon,H.R. Haldeman,John Ehrlichman"
19001,Seven Up!,1964,Paul Almond,,05/05/1964,39,"Short,Documentary,Biography","Douglas Keay,Bruce Balden,Jacqueline Bassett"
19002,56 Up,2012,"Michael Apted,Paul Almond",,05/14/2012,144,Documentary,"Michael Apted,Bruce Balden,Jacqueline Bassett"
19003,The Order of Myths,2008,Margaret Brown,Margaret Brown,01/19/2008,97,Documentary,
19004,Winnebago Man,2009,Ben Steinbauer,"Malcolm Pullinger,Ben Steinbauer",03/14/2009,85,"Documentary,Comedy,Biography","Jack Rebney,Ben Steinbauer,Keith Gordon"
19005,I Like Killing Flies,2004,Matt Mahurin,,January 2004,80,Documentary,"Michael Fishman,John A. Papa,Eve Shopsin"
19006,A Film Unfinished,2010,Yael Hersonski,Yael Hersonski,2010,88,"Drama,Documentary,History","Alexander Beyer,Rdiger Vogler,Hanna Avrutzki"
19007,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",2000,Errol Morris,,01/14/2000,91,"Documentary,Biography","Fred A. Leuchter Jr.,Robert Jan Van Pelt,David Irving"
19008,Following Sean,2006,Ralph Arlyck,Ralph Arlyck,01/13/2006,87,Documentary,"Ralph Arlyck,Sean Farrell"
19009,The Parking Lot Movie,2010,Meghan Eckman,,08/06/2010,74,Documentary,"Patrick Baran,John Beers,Chris Farina"
19010,Chaos on the Bridge,2014,William Shatner,William Shatner,08/25/2014,59,"Science Fiction & Fantasy,Documentary,Biography","Richard Arnold,Ira Steven Behr,Rick Berman"
19011,30 Years of Garbage: The Garbage Pail Kids Story,2016,"Jeff Zapata,Joe Simko",Joe Simko,07/01/2016,114,Documentary,"Mackenzie Astin,Aaron J. Booton,Len Brown"
19012,Rolling Papers,2016,Mitch Dickman,,02/19/2016,79,"News,Documentary,Comedy",
19013,Stockholms 20th International Film Festival,2009,"Helena Tossavainen,Mikael Ljung",,11/19/2009,,News,"Dario Yazbek Bernal,Luc Besson,Joon-ho Bong"
19014,Cleanin' Up the Town: Remembering Ghostbusters,2016,Anthony Bueno,"Anthony Bueno,Claire Bueno",2016,90,Documentary,"Sigourney Weaver,Harold Ramis,Annie Potts"
19015,The Scouting Book for Boys,2010,Tom Harper,Jack Thorne,03/19/2010,93,"Drama,Thriller","Thomas Turgoose,Holliday Grainger,Ruth Wellman"
19016,Hannibal Rising,2007,Peter Webber,"Thomas Harris,Thomas Harris",02/09/2007,121,"Drama,Crime,Thriller","Gaspard Ulliel,Rhys Ifans,Li Gong"
19017,Face,1997,Antonia Bird,Ronan Bennett,09/26/1997,105,"Drama,Crime,Thriller","Robert Carlyle,Ray Winstone,Steve Sweeney"
19018,Untitled Tom Simpson Project,,,,,,"Drama,Biography",
19019,Summer,2008,Kenneth Glenaan,Hugh Ellis,12/05/2008,83,Drama,"Robert Carlyle,Steve Evets,Rachael Blake"
19020,"Where's the Money, Ronnie?",1999,Shane Meadows,Shane Meadows,02/04/1999,12,"Drama,Short","Shane Meadows,Jimmy Hynd,Paul Anderson"
19021,Sightseers,2013,Ben Wheatley,"Alice Lowe,Steve Oram",05/10/2013,88,"Crime,Action & Adventure,Comedy","Alice Lowe,Kenneth Hadley,Steve Oram"
19022,Die Nibelungen: Siegfried,1924,Fritz Lang,"Fritz Lang,Thea von Harbou",1924,100,"Drama,Science Fiction & Fantasy,Action & Adventure","Paul Richter,Margarete Schn,Theodor Loos"
19023,House of Dark Shadows,1971,Dan Curtis,"Sam Hall,Gordon Russell",03/06/1971,97,"Drama,Romance,Horror","Jonathan Frid,Grayson Hall,Kathryn Leigh Scott"
19024,The Benny Goodman Story,1956,Valentine Davies,Valentine Davies,01/03/1956,116,"Drama,Musical & Performing Arts,Biography","Steve Allen,Donna Reed,Berta Gersten"
19025,Atlas Shrugged II: The Strike,2012,John Putch,"Duke Sandefur,Brian Patrick O'Toole",10/12/2012,111,"Drama,Science Fiction & Fantasy,Mystery & Suspense","Samantha Mathis,Jason Beghe,Esai Morales"
19026,Atlas Shrugged: Who Is John Galt?,2014,James Manera,"James Manera,Harmon Kaslow",09/12/2014,99,"Drama,Science Fiction & Fantasy,Mystery & Suspense","Kristoffer Polaha,Laura Regan,Rob Morrow"
19027,The Passion of Ayn Rand,1999,Christopher Menaul,"Barbara Branden,Howard Korder",01/27/1999,104,"Drama,Romance,Biography","Helen Mirren,Eric Stoltz,Julie Delpy"
19028,Island Claws,,Hernan Cardenas,"Colby Cardenas,Hernan Cardenas",,82,"Science Fiction & Fantasy,Horror","Robert Lansing,Steve Hanks,Nita Talbot"
19029,Ayn Rand & the Prophecy of Atlas Shrugged,2011,Chris Mortensen,,11/01/2011,87,Documentary,"John Allison,Clifford Asness,Rajia Baroudi"
19030,Ayn Rand: In Her Own Words,2011,"Robert Anderson,John Little",,04/05/2011,74,Documentary,"Phil Donahue,Ayn Rand,Mike Wallace"
19031,Come Morning,2016,Derrick Sims,Derrick Sims,09/20/2016,80,"Drama,Thriller","Michael Ray Davis,Thor Wahlestedt,Elise Rovinsky"
19032,On Any Sunday: The Next Chapter,2014,Dana Brown,"Dana Brown,Dana Brown",11/07/2014,90,"Documentary,Action & Adventure","Bo Derek,Travis Pastrana,Jimmy N. Roberts"
19033,The Business of Recovery,2015,Adam Finberg,,03/27/2015,82,Documentary,Suzanne Marie Berman
19034,Dear President Obama,2016,Jon Bowermaster,Jon Bowermaster,March 2016,100,Documentary,Mark Ruffalo
19035,Victim,2012,Alex Pillai,"Ashley Chin,Michael Kyei",06/22/2012,86,"Drama,Action & Adventure","Ashley Chin,Ashley Madekwe,Jason Maza"
19036,The Telephone Book,1971,Nelson Lyon,Nelson Lyon,10/03/1971,80,Comedy,"Sarah Kennedy,Norman Rose,James Harder"
19037,Killing Ed,2016,Mark Hall,"Mark Hall,Mark Hall",03/25/2016,97,Documentary,
19038,Flex Is Kings,2013,"Michael Beach Nichols,Deidre Schoo",,02/06/2013,80,Documentary,"Dj Aaron,Anime,Kareem Baptiste"
19039,Leningrad Cowboys Meet Moses,1994,Aki Kaurismki,"Sakke Jrvenp,Aki Kaurismki",02/24/1994,94,"Musical & Performing Arts,Action & Adventure,Comedy","Twist-Twist Erkinharju,Ben Granfelt,Sakke Jrvenp"
19040,I Escaped from Devil's Island,1973,William Witney,Richard DeLong Adams,September 1973,89,Action & Adventure,"Jim Brown,Christopher George,Richard Ely"
19041,Amsterdam Heavy,2012,Michael Wright,Michael Wright,09/04/2012,90,Action & Adventure,"Michael Madsen,Dorien Rose Duinker,Semmy Schilt"
19042,Hard Boiled Sweets,2012,David L.G. Hughes,David L.G. Hughes,03/09/2012,84,"Crime,Thriller","Philip Barantini,Elizabeth Berrington,Adrian Bower"
19043,I Am Evel Knievel,2014,"Derik Murray,David Ray","Paul Gertz,David Ray",09/10/2014,95,Documentary,"Willie G. Davidson,Gary Davis,Bob Einstein"
19044,Infinite Justice,2007,Jamil Dehlavi,Jamil Dehlavi,11/30/2007,93,"Drama,Thriller","Kevin Collins,Raza Jaffrey,Jennifer Calvert"
19045,Love for Levon: A Benefit to Save the Barn,,Conor McAnally,,,,Musical & Performing Arts,"Gregg Allman,Kenny Aronoff,Dierks Bentley"
19046,Another Harvest Moon,2010,Greg Swartz,Jeremy T. Black,10/06/2010,89,Drama,"Ernest Borgnine,Piper Laurie,Anne Meara"
19047,One Long Night,2007,David Siqueiros,David Siqueiros,2007,90,"Drama,Thriller,Comedy","Sophie Alexander-Katz,Adrian Alonso,Vctor Hugo Arana"
19048,Where the Trail Ends,2013,Jeremy Grant,,04/25/2013,81,"Drama,Documentary,Action & Adventure","Darren Berrecloth,James Doerfling,Andreu Lacondeguy"
19049,Pink Floyd: P. U. L. S. E. Live at Earls Court,1995,David Mallet,,08/02/1995,145,"Documentary,Musical & Performing Arts","David Gilmour,Nick Mason,Richard Wright"
19050,Ride the Divide,2010,Hunter Weeks,,04/15/2010,82,"Sports & Fitness,Documentary,Action & Adventure","Mike Dion,Michael 'Mac' McCoy,Steve King"
19051,David Gilmour Remember That Night,2007,David Mallet,,09/18/2007,313,"Documentary,Musical & Performing Arts","Pink Floyd,David Gilmour,Robert Wyatt"
19052,Sexy Beast,2001,Jonathan Glazer,"Louis Mellis,David Scinto",07/13/2001,89,"Crime,Thriller","Ray Winstone,Ben Kingsley,Ian McShane"
19053,Live 8,2005,"Bruce Gowers,Nick Hopkin","Bob Geldof,David Wild",07/02/2005,480,"Documentary,Musical & Performing Arts","Bob Geldof,Articolo 31,4Peace Ensemble"
19054,Tyrannosaur,2011,Paddy Considine,Paddy Considine,10/07/2011,92,Drama,"Peter Mullan,Archie Lal,Jag Sanghera"
19055,The Making of Spike Island,2013,,,10/14/2013,,"Short,Documentary,Musical & Performing Arts","Oliver Heald,Adam Long,Nico Mirallegro"
19056,Set It Up,2017,Claire Scanlon,Katie Silberman,2017,,Comedy,"Emilia Clarke,Glen Powell"
19057,Voice from the Stone,2016,Eric D. Howell,"Silvio Raffo,Andrew Shaw",2016,,"Drama,Thriller,Mystery & Suspense","Emilia Clarke,Marton Csokas,Caterina Murino"
19058,Common,2014,David Blair,"Jimmy McGovern,Jimmy McGovern",07/06/2014,90,"Drama,Crime","Michael Gambon,Michelle Fairley,Susan Lynch"
19059,Dom Hemingway,2013,Richard Shepard,Richard Shepard,11/15/2013,93,"Drama,Crime,Comedy","Jude Law,Richard E. Grant,Demin Bichir"
19060,Weekender,2011,Karl Golden,Chris Coghill,09/02/2011,90,"Drama,Musical & Performing Arts","Jack O'Connell,Henry Lloyd-Hughes,Zawe Ashton"
19061,Top 10 Coming of Age Films,2013,,,10/18/2013,10,"Documentary,Television",
19062,Shackled,,Nour Wazzi,"Shirine Best,Ellie Emptage",,12,"Drama,Short,Thriller","Emilia Clarke,Hadley Fraser"
19063,Green Street Hooligans,2005,Lexi Alexander,"Lexi Alexander,Dougie Brimson",09/09/2005,109,"Drama,Sports & Fitness,Crime","Elijah Wood,Charlie Hunnam,Claire Forlani"
19064,Body Heat,1981,Lawrence Kasdan,Lawrence Kasdan,09/18/1981,113,"Drama,Romance,Crime","William Hurt,Kathleen Turner,Richard Crenna"
19065,Remote Control,1988,Jeff Lieberman,Jeff Lieberman,04/07/1988,88,"Science Fiction & Fantasy,Romance,Comedy","Kevin Dillon,Deborah Goodrich,Christopher Wynne"
19066,The Football Factory,2004,Nick Love,"John King,Nick Love",05/14/2004,91,"Drama,Sports & Fitness,Crime","Danny Dyer,Frank Harper,Tamer Hassan"
19067,The Making of 'Carlito's Way',2003,Laurent Bouzereau,Laurent Bouzereau,09/02/2003,35,"Short,Documentary","Edwin Torres,Martin Bregman,David Koepp"
19068,Casualties of War,1989,Brian De Palma,"Daniel Lang,David Rabe",08/18/1989,113,"Drama,War,Crime","Michael J. Fox,Sean Penn,Don Harvey"
19069,Snake Eyes,1998,Brian De Palma,"Brian De Palma,David Koepp",08/07/1998,98,"Thriller,Crime,Mystery & Suspense","Nicolas Cage,Gary Sinise,John Heard"
19070,Kick-Ass/Death at a Funeral/The Joneses,2010,,"Joel Church-Cooper,Brett Erlich",04/22/2010,30,Comedy,"Brett Erlich,Ellen Fox,Gariana Abeyta"
19071,Passion,2013,Brian De Palma,"Brian De Palma,Natalie Carter",08/30/2013,102,"Drama,Crime,Mystery & Suspense","Rachel McAdams,Noomi Rapace,Karoline Herfurth"
19072,Wise Guys,1986,Brian De Palma,"George Gallo,Norman Steinberg",04/18/1986,100,"Crime,Comedy","Danny DeVito,Joe Piscopo,Harvey Keitel"
19073,Redacted,2007,Brian De Palma,Brian De Palma,11/16/2007,90,"War,Crime,Thriller","Patrick Carroll,Rob Devaney,Izzy Diaz"
19074,Femme Fatale,2002,Brian De Palma,Brian De Palma,11/06/2002,114,"Drama,Crime,Mystery & Suspense","Rebecca Romijn,Antonio Banderas,Peter Coyote"
19075,Dressed to Kill,1980,Brian De Palma,Brian De Palma,07/25/1980,105,"Thriller,Mystery & Suspense","Michael Caine,Angie Dickinson,Nancy Allen"
19076,Phantom of the Paradise,1974,Brian De Palma,Brian De Palma,11/01/1974,92,"Drama,Science Fiction & Fantasy,Comedy","Paul Williams,William Finley,Jessica Harper"
19077,The Fury,1978,Brian De Palma,"John Farris,John Farris",03/10/1978,118,"Drama,Thriller","Kirk Douglas,John Cassavetes,Carrie Snodgress"
19078,1900,1977,Bernardo Bertolucci,"Franco Arcalli,Giuseppe Bertolucci",11/04/1977,317,"Drama,History,Crime","Robert De Niro,Grard Depardieu,Dominique Sanda"
19079,Bang the Drum Slowly,1978,John D. Hancock,"Mark Harris,Mark Harris",05/12/1978,96,"Drama,Sports & Fitness","Michael Moriarty,Robert De Niro,Vincent Gardenia"
19080,Sisters,1973,Brian De Palma,"Brian De Palma,Louisa Rose",03/27/1973,93,"Thriller,Horror","Margot Kidder,Jennifer Salt,Charles Durning"
19081,Dionysus in '69,1970,"Brian De Palma,Richard Schechner","William Arrowsmith,Euripides",03/22/1970,85,Drama,"Remi Barclay,Samuel Blazer,Jason Bosseau"
19082,True Confessions,1981,Ulu Grosbard,"John Gregory Dunne,John Gregory Dunne",09/25/1981,108,"Drama,Crime","Robert De Niro,Robert Duvall,Charles Durning"
19083,Bloody Mama,1970,Roger Corman,"Don Peters,Robert Thom",03/24/1970,90,"Drama,Crime","Shelley Winters,Don Stroud,Pat Hingle"
19084,The Last Tycoon,1976,Elia Kazan,"F. Scott Fitzgerald,Harold Pinter",11/19/1976,123,"Drama,Romance","Robert De Niro,Tony Curtis,Robert Mitchum"
19085,Born to Win,1972,Ivan Passer,"David Scott Milton,Ivan Passer",07/13/1972,88,"Drama,Crime,Comedy","George Segal,Paula Prentiss,Karen Black"
19086,Murder  la Mod,1968,Brian De Palma,Brian De Palma,05/01/1968,80,"Crime,Mystery & Suspense,Comedy","Andra Akers,William Finley,Margo Norton"
19087,Get to Know Your Rabbit,1972,Brian De Palma,Jordan Crittenden,June 1972,91,Comedy,"Tom Smothers,John Astin,Susanne Zenor"
19088,"Hi, Mom!",1970,Brian De Palma,"Brian De Palma,Charles Hirsch",1970,87,"Drama,Comedy","Robert De Niro,Allen Garfield,Lara Parker"
