93,103,55,The Secret Life of Pets,"Animation,Adventure,Comedy",87,67.0,58540.0,"Yarrow Cheney,Chris Renaud",2016,The Secret Life of Pets,"Animation,Comedy",90.0,72.0,74579,"Yarrow Cheney,Chris Renaud,",2016
94,104,5,Finding Dory,"Animation,Adventure,Comedy",97,77.0,72833.0,"Andrew Stanton,Angus MacLane",2016,Finding Dory,Animation,100.0,82.0,175300,"Andrew Stanton,Angus MacLane,",2016
95,104,2268,Finding Dory,"Animation,Adventure,Comedy",97,77.0,72833.0,"Andrew Stanton,Angus MacLane",2016,Finding Nemo,"Animation,Comedy,Kids,Family",100.0,76.0,33354427,"Andrew Stanton,Lee Unkrich,",2003
96,104,6386,Finding Dory,"Animation,Adventure,Comedy",97,77.0,72833.0,"Andrew Stanton,Angus MacLane",2016,Finding Oscar,"Art House,International,Documentary,Drama",,,3,"Ryan Suffern,",2016
97,105,29,Pete's Dragon,"Adventure,Family,Fantasy",103,72.0,8850.0,David Lowery,2016,Pete's Dragon,"Animation,Kids,Family",90.0,78.0,31891,"David Lowery,",2016
98,105,14788,Pete's Dragon,"Adventure,Family,Fantasy",103,72.0,8850.0,David Lowery,2016,The Last Dragon,"Action,Adventure",,88.0,337,,2014
99,107,62,Storks,"Animation,Adventure,Comedy",87,71.0,4597.0,"Nicholas Stoller,Doug Sweetland",2016,Storks,"Animation,Comedy,Kids,Family",87.0,74.0,19838,"Nicholas Stoller,Doug Sweetland,",2016
100,108,648,Untitled Aditya Chopra Project,Drama,0,,,,,Untitled Wikileaks/HBO Project,Drama,128.0,60.0,66,"Bill Condon,",2013
101,108,4626,Untitled Aditya Chopra Project,Drama,0,,,,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,",2017
102,108,11292,Untitled Aditya Chopra Project,Drama,0,,,,,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,",2002
103,108,14272,Untitled Aditya Chopra Project,Drama,0,,,,,Untitled Wes Anderson Project,,,,21,"Wes Anderson,",2018
104,111,216,Bridget Jones's Baby,"Comedy,Romance",123,74.0,14099.0,Sharon Maguire,2016,Bridget Jones's Baby,"Comedy,Romance",122.0,76.0,15922,"Sharon Maguire,",2016
105,111,9759,Bridget Jones's Baby,"Comedy,Romance",123,74.0,14099.0,Sharon Maguire,2016,Bridget Jones's Diary,"Comedy,Romance",94.0,66.0,495111,"Sharon Maguire,",2001
106,112,23,War Dogs,"Comedy,Crime,Drama",114,72.0,24831.0,Todd Phillips,2016,War Dogs,"Comedy,Drama",114.0,74.0,24022,"Todd Phillips,",2016
107,112,15582,War Dogs,"Comedy,Crime,Drama",114,72.0,24831.0,Todd Phillips,2016,Sea Dogs,Mystery,,,37,"Neil Hollander,",2000
